;maxRange
466;-0,2017415165901184
3147;0,023119568824768066
2970;1,47200345993042
4003;-1,6944454908370972
4070;-0,19999291375279427
3767;-0,12701346538960934
4965;0,41353514790534973
2984;0,019482992589473724
21;-0,6536099016666412
4951;1,7536066174507141
2876;0,0726061463356018
1079;-0,350722074508667
2382;-0,6134884357452393
4727;1,0738482661545277
4817;-0,08012115955352783
2602;-0,6480298452079296
1479;-0,1446865350008011
4229;1,188599169254303
4564;-0,3611014783382416
3882;-0,23969346098601818
1707;1,6193778663873672
2722;0,9388980306684971
1434;-0,6443500518798828
477;0,11530259251594543
362;0,9327344298362732
4815;0,840013325214386
1874;-0,8307563364505768
763;0,5710365772247314
274;1,212231993675232
2317;1,469289019703865
358;1,2691849023103714
3899;-0,822303831577301
3506;-0,47276008129119873
4640;0,04863213747739792
1342;0,8473363667726517
1987;0,5800813436508179
2348;0,1992781162261963
488;-0,9191558137536049
443;1,569958359003067
4012;1,2719423691742122
379;0,9306117296218872
4975;0,8670775890350342
4806;0,16711628437042236
4750;-0,7504067122936249
2988;-0,11701476573944092
3309;0,532387375831604
2893;0,7098579406738281
253;0,1643020361661911
2069;-0,3345106840133667
3764;1,7335789203643799
1227;-0,021281123161315918
767;-0,44782114028930664
91;-0,6527941226959229
1053;0,7762798443436623
2196;-0,32818805426359177
3645;1,469876691699028
1472;-0,8222631029784679
2158;-1,4128654897212982
1153;-0,5486617684364319
2243;-1,1588126495480537
597;-0,7971353195607662
3521;-0,49637308716773987
1783;-0,12870824337005615
4006;1,302626557648182
4730;1,5039487183094025
4822;0,0720923775807023
2979;-0,2050909399986267
2235;0,35455603525042534
2373;-0,7539746761322021
4315;0,6683937236666679
4949;-0,6714068353176117
3948;0,7115479111671448
3991;0,29606588929891586
4339;0,028568710666149855
2673;-0,8100098371505737
107;-0,7776634022593498
4967;-0,21567505598068237
2430;-0,724003089031612
1646;-0,2839435935020447
2608;-0,1804407238960266
4039;-3,0907300785183907
4950;1,096531704068184
3771;0,6278975671157241
3474;-0,5684750154614449
1828;-0,3323845863342285
4638;-0,2035377025604248
1752;0,3477685898542404
3119;0,9606964588165283
1098;0,7707476709038019
1186;-0,3740348219871521
4554;0,9597744946368039
1565;0,20815294981002808
320;0,0637817679962609
4922;-0,3045662045478821
2716;0,36904558539390564
441;0,04845653474330902
499;0,04416763782501221
1597;0,484955370426178
2226;0,033505529165267944
2060;-0,08393539115786552
938;0,7649026438593864
1264;-1,3612332651391625
2190;-4,330179750919342
3590;-0,17628217488527298
846;-0,10203719139099121
2958;-0,4093671888113022
4608;-1,102124858647585
1700;0,5463807582855225
2774;0,44806596636772156
969;0,3469488322734833
