,blue_alt,red_alt,angle_off,aspect_angle,Rmax
30,12177.455931678409,13813.677467239027,48.09926072178817,72.79932010889505,-18.5
31,4051.5611213338157,17399.712734997836,-89.16296240266318,73.26163449424283,-15.0
32,48973.34987264093,27741.04745801879,138.1065159284069,30.950715956191473,-28.0
33,25625.522964478445,44600.37794008568,-53.09639895634368,56.914961469594886,-13.5
34,31890.054491734405,31247.844017902797,111.46671693253035,85.76267136022454,-16.5
35,25045.575939267892,22521.833846283807,84.98265862477342,-50.931304394562424,-20.0
36,2395.202911260183,21308.410156298203,-148.00284610280332,72.80710781137248,-14.0
37,48888.71429518883,9387.59366163965,-9.675243074354483,36.768751770330354,-28.0
38,40201.026747104086,2823.6974765686336,-138.0275741195894,-87.67106988542145,-18.5
39,22745.68307084795,3351.9150332933,-148.30732689396507,-15.817074019334825,-29.0
40,40256.762825728954,34532.17777513785,8.210137496081757,-71.41712988889142,-17.5
41,14952.793266905368,27559.008125256238,-52.6047612102259,-73.91699341352123,-16.5
42,37007.54751350795,39416.57161985455,104.66928851364105,75.72450145273862,-18.0
43,19086.351327823435,22079.794428059024,-91.7438491294525,70.8657563581609,-16.5
44,4417.039754319343,23578.74991375673,-36.279078528473235,-63.799557272554715,-15.5
45,32465.502648049012,36039.427343831114,-143.735460649605,-33.721461680566364,-23.5
46,47142.5846214286,3367.1331523421454,-162.00643627796265,14.000850693363105,-31.5
47,15703.28532450881,25026.74412920624,-147.1406203241653,75.40154943857081,-15.0
48,19588.749538304106,26849.825862715308,179.25809584236782,-21.375899072012956,-22.5
49,17397.87131295641,35642.42237641919,68.69916645768856,14.092359640134063,-17.5
50,41220.92963424643,27317.40946968356,-101.55307322844689,24.339029574857904,-24.5
51,31815.30530332375,10949.535397811029,39.73272367946578,-30.247216051061812,-25.5
52,17725.915990009304,49351.22356045791,27.564542249696217,38.07234280587258,-11.0
53,30704.656674162834,45121.93904323499,64.09367066205175,-14.38562505789696,-17.5
54,10529.257325764747,40416.42473544341,158.7640561116536,79.98514555343263,-9.5
55,26881.28706886993,48472.57482911179,-170.8302742221634,39.254493401378966,-16.0
56,34263.574833659644,40411.5147959597,-50.01494796436009,-43.92552774226012,-19.0
57,18826.623752026055,24526.91700228896,-40.965086051338034,-30.925957074077928,-20.5
58,28423.94872103289,48757.3327929037,-149.32973367395516,-58.694723612122026,-15.5
59,31797.742981758383,40943.620146804635,-159.78291733162388,-35.80605239599316,-20.5
60,17816.194157753544,24592.92770477248,-168.65794068759837,-77.57421708825188,-15.5
61,43197.376675348,16750.973453390558,157.9378030196773,-9.527138605516711,-29.5
62,16277.192780860154,26176.833473885552,32.06789139004374,37.767255873310376,-19.0
63,42588.618139183556,4517.0841993831955,-60.22060973019457,-5.360759724983353,-30.0
64,29694.09708419247,24192.682971794537,16.28622415763408,-4.193423162561217,-23.5
65,26540.808275966876,13857.270421601783,-26.02595512256059,-85.16515198473402,-18.5
66,47099.54815124739,29805.657829787124,23.77464067079572,-77.35673834158797,-18.0
67,26697.767342290022,48813.66729856901,-31.943591687821367,72.2758523502169,-12.0
68,45342.56748117772,14135.735444577116,20.017647162884003,-3.84884190159147,-28.5
69,12546.12658918811,17377.751024649544,8.454648394402795,17.112018680583148,-21.5
70,32638.723357511295,36838.482863284,37.76589187665334,-50.2683176282256,-18.0
71,44722.65590296362,6292.829756812739,-130.46911900063407,-20.531489133116395,-31.0
72,19273.126408100015,10153.299199033196,-147.78091697525363,16.112474258510204,-26.0
