Case,BL_Speed,RD_Speed,rad,BL_Hdg,RD_Hdg,BL_Alt,RD_Alt,maxRange,minErrorTry
1130,515,685,-2,0,-26,10725,10219,0.0,45.0
1131,731,512,53,0,-4,9927,8711,0.0,45.0
1132,603,665,32,0,115,1976,2576,0.0,45.0
1133,565,516,-35,0,102,9069,7788,0.0,45.0
1134,727,697,-20,0,-148,9029,8353,0.0,45.0
1135,557,666,-2,0,-155,11707,12078,0.0,45.0
1136,534,546,-51,0,-98,10658,9289,0.0,45.0
1137,566,719,50,0,-10,10866,10922,0.0,45.0
1138,695,512,-37,0,-180,7295,5942,0.0,45.0
1139,653,533,22,0,-151,4277,3392,0.0,45.0
1140,484,482,-39,0,147,12552,13275,0.0,45.0
1141,665,453,38,0,-102,5209,4454,0.0,45.0
1142,663,747,11,0,-123,13526,13943,0.0,45.0
1143,527,558,-23,0,-148,6921,5924,0.0,45.0
1144,452,567,-12,0,-10,10728,11410,0.0,45.0
1145,631,565,-43,0,124,2611,2467,0.0,45.0
1146,622,714,19,0,12,6450,4965,0.0,45.0
1147,705,498,38,0,54,541,1194,0.0,45.0
1148,496,492,-11,0,165,6332,6547,0.0,45.0
1149,461,744,27,0,72,3908,2695,0.0,45.0
1150,467,683,-17,0,91,3934,3873,0.0,45.0
1151,452,454,-23,0,49,11779,10751,0.0,45.0
1152,500,578,-27,0,36,5772,4857,0.0,45.0
1153,486,629,-9,0,-136,8933,8606,0.0,45.0
1154,571,684,-7,0,76,7089,7541,0.0,45.0
1155,604,585,7,0,-39,4336,4540,0.0,45.0
1156,630,715,51,0,-8,4067,5223,0.0,45.0
1157,455,463,17,0,-47,11433,12501,0.0,45.0
1158,469,611,17,0,58,9141,8026,0.0,45.0
1159,598,593,-10,0,42,4325,5326,0.0,45.0
1160,670,516,8,0,165,2972,2419,0.0,45.0
1161,726,678,47,0,-147,10633,9602,0.0,45.0
1162,525,463,47,0,159,8921,9834,0.0,45.0
1163,522,531,21,0,-20,2660,3732,0.0,45.0
1164,657,660,-34,0,151,10816,11285,0.0,45.0
1165,705,702,26,0,-91,13279,12786,0.0,45.0
1166,486,527,40,0,-155,4675,5493,0.0,45.0
1167,585,534,-56,0,-44,6001,6527,0.0,45.0
1168,575,723,-43,0,-118,8531,9613,0.0,45.0
1169,502,615,55,0,123,1069,2376,0.0,45.0
1170,654,590,-36,0,-136,5766,7076,0.0,45.0
1171,538,712,13,0,-141,9997,8910,0.0,45.0
1172,655,710,14,0,14,7552,8982,0.0,45.0
1173,679,587,-25,0,-90,12222,11860,0.0,45.0
1174,524,667,-1,0,21,9482,8461,0.0,45.0
1175,630,612,58,0,-141,5571,5209,0.0,45.0
1176,564,614,-57,0,53,2751,2973,0.0,45.0
1177,566,705,51,0,-167,13258,14314,0.0,45.0
1178,487,701,29,0,130,7686,7195,0.0,45.0
1179,706,731,-42,0,17,9485,8501,0.0,45.0
1180,641,610,-14,0,-109,9195,10587,0.0,45.0
1181,580,511,-27,0,63,6669,6602,0.0,45.0
1182,457,701,8,0,-153,4641,6106,0.0,45.0
1183,559,469,56,0,151,3475,4247,0.0,45.0
1184,636,551,-28,0,-163,8870,8461,0.0,45.0
1185,528,730,24,0,-122,5469,5857,0.0,45.0
1186,732,700,9,0,-85,5294,6600,0.0,45.0
1187,600,537,-20,0,-53,12687,12071,0.0,45.0
1188,570,693,-23,0,-85,12715,14161,0.0,45.0
1189,458,665,-41,0,50,13148,13385,0.0,45.0
1190,539,738,41,0,7,6161,5717,0.0,45.0
1191,458,742,54,0,-114,6104,6297,0.0,45.0
1192,534,497,37,0,-68,8775,9802,0.0,45.0
1193,542,456,-10,0,22,2901,4251,0.0,45.0
1194,732,613,39,0,87,10886,10003,0.0,45.0
1195,515,484,5,0,-179,12614,13488,0.0,45.0
1196,500,721,55,0,119,10384,11280,0.0,45.0
1197,460,665,-60,0,1,12377,10921,0.0,45.0
1198,460,618,-39,0,145,5009,5015,0.0,45.0
1199,673,466,-31,0,97,3283,2741,0.0,45.0
