Case,BL_Speed,RD_Speed,rad,BL_Hdg,RD_Hdg,BL_Alt,RD_Alt,maxRange,minErrorTry
515,732,723,46,0,137,5985,4917,16.34765625,16.5234375
516,670,599,16,0,4,13103,12111,11.77734375,11.953125
517,688,620,40,0,171,2058,2294,21.97265625,22.1484375
518,730,585,14,0,38,10430,11754,12.3046875,12.48046875
519,745,722,35,0,-57,10701,9887,19.86328125,20.0390625
520,627,608,8,0,38,9955,8979,10.01953125,10.1953125
521,470,687,37,0,66,8432,8394,7.20703125,7.3828125
522,636,615,44,0,-20,5886,7306,7.55859375,7.734375
523,461,580,20,0,38,7208,6494,5.44921875,5.625
524,699,549,46,0,126,11120,12404,22.5,22.67578125
525,468,546,18,0,-67,7761,6673,14.58984375,14.765625
526,487,734,41,0,28,5598,6393,2.8125,2.98828125
527,742,623,58,0,145,13005,14118,25.3125,25.48828125
528,644,452,8,0,146,825,1999,20.56640625,20.7421875
529,670,522,54,0,-130,6339,5105,26.015625,26.19140625
530,541,548,57,0,-119,3946,2755,23.73046875,23.90625
531,470,693,38,0,-164,10303,10685,31.46484375,31.640625
532,723,692,45,0,74,7825,8706,9.66796875,9.84375
533,696,595,31,0,-158,12731,11837,35.859375,36.03515625
534,722,725,5,0,108,11394,10673,29.70703125,29.8828125
535,599,464,0,0,158,7184,6062,28.65234375,28.828125
536,564,732,44,0,-165,12742,12067,33.22265625,33.3984375
537,500,700,46,0,-103,822,1114,23.02734375,23.203125
538,605,603,57,0,88,8313,7934,9.4921875,9.66796875
539,602,665,51,0,-43,3993,3227,10.72265625,10.8984375
540,490,658,16,0,115,5353,4180,17.75390625,17.9296875
541,501,679,35,0,-172,12132,10714,33.046875,33.22265625
542,568,723,27,0,-155,3675,3456,30.41015625,30.5859375
543,473,731,54,0,99,12591,11524,13.0078125,13.18359375
544,473,587,36,0,-97,9037,10133,24.08203125,24.2578125
545,632,559,48,0,132,5184,4810,13.7109375,13.88671875
546,522,711,59,0,-78,12155,11323,24.43359375,24.609375
547,518,616,23,0,-106,8658,9553,26.015625,26.19140625
548,470,582,53,0,45,12622,13131,9.140625,9.31640625
549,544,646,34,0,-130,2486,3067,26.54296875,26.71875
550,478,483,39,0,-27,7953,9136,10.1953125,10.37109375
551,558,588,27,0,-128,7459,6262,29.00390625,29.1796875
552,494,586,19,0,-50,5335,6344,8.96484375,9.140625
553,731,694,33,0,33,8340,7917,6.6796875,6.85546875
554,665,544,30,0,143,2563,3800,19.16015625,19.3359375
555,662,569,38,0,13,8247,9291,7.55859375,7.734375
556,605,661,33,0,167,3749,3992,24.9609375,25.13671875
557,637,713,29,0,130,12554,13792,27.59765625,27.7734375
558,703,459,31,0,25,9512,8936,11.25,11.42578125
559,624,564,12,0,40,12250,13378,13.7109375,13.88671875
560,582,597,56,0,177,10044,9786,25.6640625,25.83984375
561,535,705,13,0,43,5990,5803,4.921875,5.09765625
562,513,503,53,0,-72,13433,13927,21.62109375,21.796875
563,527,672,1,0,71,11284,10745,16.69921875,16.875
564,557,721,44,0,-4,13642,12808,8.61328125,8.7890625
565,531,550,51,0,-109,661,1765,21.09375,21.26953125
566,534,743,29,0,95,2316,2300,6.328125,6.50390625
567,733,558,18,0,61,7975,8681,12.3046875,12.48046875
568,740,708,58,0,81,4505,4160,5.625,5.80078125
569,609,500,15,0,-49,7505,7578,12.65625,12.83203125
570,479,746,41,0,135,8868,7604,19.51171875,19.6875
571,658,523,56,0,24,5979,4575,6.328125,6.50390625
572,625,542,53,0,-130,5837,5640,25.6640625,25.83984375
573,475,526,35,0,34,4542,3866,4.21875,4.39453125
574,598,514,38,0,-62,10247,10039,19.3359375,19.51171875
575,490,492,13,0,128,8432,7056,23.5546875,23.73046875
576,655,625,18,0,63,3464,3799,6.328125,6.50390625
577,648,674,26,0,131,12618,13832,28.4765625,28.65234375
578,742,666,12,0,128,11838,13265,32.34375,32.51953125
579,549,574,9,0,-61,7186,6432,12.12890625,12.3046875
580,653,664,49,0,121,11598,10931,20.0390625,20.21484375
581,691,542,21,0,159,10788,9606,32.6953125,32.87109375
582,635,621,5,0,-177,2439,3626,28.828125,29.00390625
583,740,705,4,0,-159,13079,11943,40.95703125,41.1328125
584,476,732,10,0,-133,7841,7689,30.41015625,30.5859375
585,634,651,24,0,-155,7731,8402,33.22265625,33.3984375
586,574,460,12,0,-159,2121,2893,24.43359375,24.609375
587,719,742,13,0,-12,7092,7257,4.74609375,4.921875
588,600,629,9,0,86,2563,2677,8.96484375,9.140625
589,730,710,15,0,65,5235,3942,7.3828125,7.55859375
590,642,606,20,0,-47,3883,3708,7.91015625,8.0859375
591,492,517,29,0,-17,7159,8347,7.3828125,7.55859375
592,600,665,36,0,149,13306,12962,29.00390625,29.1796875
593,712,637,55,0,169,6478,6589,22.32421875,22.5
594,475,609,47,0,57,6743,7877,5.80078125,5.9765625
595,551,507,46,0,-105,1786,2889,20.7421875,20.91796875
596,515,497,57,0,133,10208,10857,17.75390625,17.9296875
597,686,497,56,0,-177,3014,3700,18.6328125,18.80859375
598,694,589,17,0,-91,9422,8493,25.3125,25.48828125
599,637,493,24,0,47,2671,4186,5.625,5.80078125
600,482,648,45,0,-143,7347,8017,28.4765625,28.65234375
601,741,616,27,0,-112,11242,11955,32.51953125,32.6953125
602,671,660,45,0,-153,9128,7742,32.51953125,32.6953125
603,456,566,11,0,89,6433,5762,12.83203125,13.0078125
604,497,711,53,0,145,12877,13567,23.73046875,23.90625
605,572,503,8,0,-155,9368,10166,30.9375,31.11328125
606,603,612,6,0,-112,3753,4664,21.26953125,21.4453125
607,643,617,7,0,78,3750,4644,9.84375,10.01953125
608,615,716,7,0,124,729,1238,18.45703125,18.6328125
609,515,646,13,0,-22,3067,2187,2.98828125,3.1640625
610,737,558,11,0,160,4022,2555,27.59765625,27.7734375
611,622,620,13,0,-35,6861,7175,7.91015625,8.0859375
612,707,589,12,0,156,5650,4362,29.1796875,29.35546875
613,513,528,56,0,-78,13084,13503,22.5,22.67578125
614,629,516,19,0,-112,11966,11228,30.05859375,30.234375
615,672,527,36,0,32,6076,5747,6.50390625,6.6796875
616,495,699,57,0,85,7644,6808,6.50390625,6.6796875
617,719,505,17,0,-67,12756,12647,23.203125,23.37890625
618,546,746,7,0,99,9295,8074,21.796875,21.97265625
619,535,598,56,0,-165,5323,6600,23.5546875,23.73046875
620,654,641,7,0,-171,6542,7177,33.22265625,33.3984375
621,710,677,52,0,-13,13117,12338,12.48046875,12.65625
622,464,468,9,0,28,3988,2815,-1.0,0.703125
623,722,679,27,0,140,2999,3825,21.4453125,21.62109375
624,592,600,39,0,-179,7850,6413,28.828125,29.00390625
625,697,584,1,0,-8,4726,4695,4.74609375,4.921875
626,582,497,21,0,-110,9574,8812,26.89453125,27.0703125
627,497,553,33,0,152,3910,3545,19.86328125,20.0390625
628,612,635,0,0,-22,2181,3703,-1.0,0.703125
629,583,452,47,0,-63,13179,12825,21.796875,21.97265625
630,573,487,40,0,-63,8962,8345,18.28125,18.45703125
631,704,671,12,0,26,12159,11945,11.07421875,11.25
632,691,557,19,0,-147,2927,2041,27.59765625,27.7734375
633,576,503,54,0,58,9390,10265,9.66796875,9.84375
634,578,580,14,0,2,11001,9963,8.61328125,8.7890625
635,683,729,12,0,-21,9159,8466,6.85546875,7.03125
636,605,463,55,0,-151,3577,2605,21.26953125,21.4453125
637,686,654,43,0,144,6244,5182,19.16015625,19.3359375
638,663,597,49,0,31,11912,12985,10.37109375,10.546875
639,588,450,39,0,-31,4513,5603,9.84375,10.01953125
640,717,604,16,0,-96,2651,4048,19.16015625,19.3359375
641,698,694,56,0,43,12281,12024,9.4921875,9.66796875
642,660,521,52,0,54,9739,8223,9.84375,10.01953125
643,616,628,16,0,91,11602,11165,20.56640625,20.7421875
644,600,522,16,0,84,1800,1734,7.91015625,8.0859375
645,708,719,19,0,-106,9098,10589,30.05859375,30.234375
646,636,665,58,0,100,10178,11117,13.359375,13.53515625
647,567,749,59,0,7,12568,13795,6.85546875,7.03125
648,583,612,7,0,7,8614,9068,5.9765625,6.15234375
649,680,714,34,0,61,5385,5025,5.80078125,5.9765625
650,716,693,53,0,-51,1707,1385,12.48046875,12.65625
651,575,556,49,0,-40,2288,1018,9.4921875,9.66796875
652,596,696,30,0,91,437,1106,5.44921875,5.625
653,740,576,21,0,-37,6414,7803,10.546875,10.72265625
654,493,545,46,0,-12,5357,4156,5.80078125,5.9765625
655,587,486,10,0,-4,9247,8577,9.31640625,9.4921875
656,749,662,23,0,-65,9060,8981,19.16015625,19.3359375
657,686,476,38,0,176,4377,5466,23.73046875,23.90625
658,657,473,26,0,-18,1232,2589,-1.0,0.703125
659,636,612,58,0,-137,12185,11460,29.70703125,29.8828125
660,569,661,26,0,-134,10705,10349,33.57421875,33.75
661,605,466,38,0,43,3724,4599,5.9765625,6.15234375
662,683,565,37,0,-79,12941,11434,26.54296875,26.71875
663,746,556,29,0,129,5398,6328,19.51171875,19.6875
664,727,745,45,0,57,2015,2429,3.69140625,3.8671875
665,583,542,14,0,64,9383,9538,13.359375,13.53515625
666,576,741,46,0,51,6928,6455,4.74609375,4.921875
667,696,458,0,0,-34,5068,4995,8.4375,8.61328125
668,730,652,30,0,119,1957,1713,11.07421875,11.25
669,521,623,30,0,174,2915,2930,24.2578125,24.43359375
670,541,499,3,0,-5,12331,12276,11.6015625,11.77734375
671,475,641,46,0,89,10587,10183,11.77734375,11.953125
672,601,694,52,0,110,11770,11104,16.69921875,16.875
673,718,517,2,0,48,7926,7660,12.12890625,12.3046875
674,624,480,52,0,-147,1875,2196,21.26953125,21.4453125
675,649,466,38,0,91,2557,2707,7.91015625,8.0859375
676,730,710,35,0,97,4685,5577,10.01953125,10.1953125
677,546,576,6,0,-176,2835,2217,27.59765625,27.7734375
678,648,670,39,0,31,6346,6766,4.74609375,4.921875
